"Indeks","IndeksSkanu","IndeksZlecenia","IndeksDodatka","Duplicated"
806011,825863,314953,,0
806012,825863,314998,,0
806013,825862,316005,,0
806014,825866,315825,,0
806015,825867,316259,,0
806016,825868,316259,,1
806017,825869,316259,,1
806018,825870,316259,,1
806019,825871,315857,,0
806020,825872,316258,,0
806021,825873,316258,,1
806022,825874,316258,,1
806023,825875,316258,,1
806024,825876,315809,,0
806025,825877,316129,,0
806026,825878,316128,,0
806027,825879,316260,,0
806028,825880,316008,,0
806029,825881,316261,,0
806030,825882,316260,,1
806031,825883,316132,,0
806032,825884,316261,,1
806033,825887,315807,,0
806034,825888,316244,,1
806035,825889,316260,,1
806036,825890,314907,,0
806037,825892,314917,,0
806038,825892,314983,,0
806039,825894,316261,,1
806040,825895,316262,,0
806041,825896,316139,,0
806042,825897,316260,,1
806043,825898,316105,,0
806044,825899,316127,,0
806045,825900,316262,,1
806046,825901,316263,,0
806047,825902,316140,,0
806048,825903,316261,,1
806049,825904,316007,,0
806050,825905,316130,,0
806051,825906,316262,,1
806052,825907,316263,,1
806053,825908,316131,,0
806054,825909,315831,,0
806055,825910,316141,,0
806056,825911,316243,,0
806057,825912,316263,,1
806058,825914,316242,,0
806059,825919,316134,,0
806060,825920,316242,,1
806061,825922,316122,,0
806062,825923,316243,,1
806063,825926,316142,,0
806064,825927,315816,,0
806065,825928,314945,,0
806066,825928,314994,,0
806067,825931,314937,,0
806068,825933,316112,,0
806069,825935,316263,,1
806070,825936,315832,,0
806071,825937,316004,,0
806072,825938,316221,,0
806073,825942,316264,,0
806074,825943,316264,,1
806075,825944,316264,,1
806076,825945,316264,,1
806077,825946,316147,,0
806078,825947,316219,,0
806079,825949,316221,,1
806080,825950,316219,,1
806081,825951,316108,,0
806082,825956,316135,,0
806083,825957,315833,,0
806084,825958,316101,,0
806085,825959,316220,,0
806086,825962,316148,,0
806087,825963,316220,,1
806088,825965,316266,,0
806089,825966,316219,,1
806090,825969,316136,,0
806091,825970,316220,,1
806092,825972,314936,,0
806093,825974,314946,,0
806094,825974,314995,,0
806095,825976,316265,,0
806096,825977,316265,,1
806097,825978,316265,,1
806098,825979,315818,,0
806099,825980,316137,,0
806100,825981,316148,,0
806101,825982,316245,,0
806102,825984,316009,,0
806103,825985,316245,,1
806104,825986,316264,,1
806105,825987,315808,,0
806106,825987,315824,,0
806107,825987,315848,,0
806108,825988,316268,,0
806109,825989,316152,,0
806110,825990,315864,,0
806111,825991,316268,,1
806112,825992,316254,,0
806113,825992,316257,,0
806114,825993,316268,,1
806115,825994,315503,,0
806116,825995,316268,,1
